id,school,unit,description,participating,operating_weeks,degree,credit,year_began,url,location,lng,lat,connections,connections_notes,image_url,comment
SA19,C.V. Starr Schools Abroad,France—Poitiers,"Designed for students at an advanced level of French, the Middlebury School in France provides opportunities to experience French culture in one of three locations: Bordeaux, Paris, and Poitiers.",9,36,no,yes,1970,http://www.middlebury.edu/study-abroad/france,France,46.580224,0.340375,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/France_map.jpg,
SA20,C.V. Starr Schools Abroad,Germany—Berlin,"Founded in 1959, the Middlebury School in Germany provides students with the opportunity to live, study, and socialize with Germans and immerse themselves completely in the local culture. ",12,36,no,yes,1970,http://www.middlebury.edu/study-abroad,Germany,52.520008,13.404954,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Germany.jpg,
SA21,C.V. Starr Schools Abroad,Germany—Mainz,"Founded in 1959, the Middlebury School in Germany provides students with the opportunity to live, study, and socialize with Germans and immerse themselves completely in the local culture. ",12,36,no,yes,1970,http://www.middlebury.edu/study-abroad,Germany,49.9951227,8.2674264,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Germany.jpg,
SA22,C.V. Starr Schools Abroad,India—Delhi,"The School in India is located in Delhi and based at St. Stephen’s College and Lady Shri Ram College for Women (LSR), both of which are part of the larger University of Delhi. (Female students may pursue classes at either of the two colleges, while men will study at St. Stephen's.)",8,36,no,yes,1970,http://www.middlebury.edu/study-abroad/india,India,28.6448,77.216721,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/India.png,
SA23,C.V. Starr Schools Abroad,Israel—Beer Sheva,"The Program in Israel has been suspended for 2015-2016, and is not currently accepting applications.",0,36,no,yes,1970,http://www.middlebury.edu/study-abroad/israel,Israel,31.252973,34.791462,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Israel.png,
SA24,C.V. Starr Schools Abroad,Italy—Ferrara,"With sites in Ferrara, Florence, and Rome, the Middlebury School in Italy offers a wide range of environments for academic and cultural immersion. Students have the opportunity to enroll directly into an Italian university.",20,36,no,yes,1970,http://www.middlebury.edu/study-abroad/italy,Italy,44.8378942,11.6204396,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Ferrara.jpg,
SA25,C.V. Starr Schools Abroad,Italy—Florence,"With sites in Ferrara, Florence, and Rome, the Middlebury School in Italy offers a wide range of environments for academic and cultural immersion. Students have the opportunity to enroll directly into an Italian university.",20,36,no,yes,1970,http://www.middlebury.edu/study-abroad/italy,Italy,43.768009,11.253165,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Florence.JPG,
SA26,C.V. Starr Schools Abroad,Italy—Rome,"With sites in Ferrara, Florence, and Rome, the Middlebury School in Italy offers a wide range of environments for academic and cultural immersion. Students have the opportunity to enroll directly into an Italian university.",20,36,no,yes,1970,http://www.middlebury.edu/study-abroad/italy,Italy,41.890251,12.492373,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Rome.JPG,
SA27,C.V. Starr Schools Abroad,Japan—Tokyo,"The contrast of Tokyo’s history and modernity can be seen throughout the city and its wards in the fast-paced approach to urban life juxtaposed against its architecture, traditions, and landscape, all of which make it an ideal location for study abroad.",20,36,no,yes,1970,http://www.middlebury.edu/study-abroad/japan,Japan,35.652832,139.839478,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Japan.png,
SA28,C.V. Starr Schools Abroad,Jordan—Amman,"The School in Jordan is based at the University of Jordan, Jordan’s oldest public 4-year institution of higher education, established in 1962. With a strong emphasis on research, and a rich background in liberal arts, the University of Jordan is an excellent host for students of all academic backgrounds.",20,36,no,yes,1970,http://www.middlebury.edu/study-abroad/jordan,Jordan,31.963158,35.930359,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Jordan.png,
SA29,C.V. Starr Schools Abroad,Russia—Irkutsk,"Unlike many American programs in Russia, in which study abroad students are segregated from regular university and community life, our programs in Irkutsk, Moscow, and Yaroslavl have been carefully designed to encourage linguistic and cultural integration.",5,36,no,yes,1970,http://www.middlebury.edu/study-abroad/russia,Russia,52.275261,104.3086395,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Russia.png,
SA30,C.V. Starr Schools Abroad,Russia—Moscow,"Unlike many American programs in Russia, in which study abroad students are segregated from regular university and community life, our programs in Irkutsk, Moscow, and Yaroslavl have been carefully designed to encourage linguistic and cultural integration.",5,36,no,yes,1970,http://www.middlebury.edu/study-abroad/russia,Russia,55.751244,37.618423,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Russia.png,
SA31,C.V. Starr Schools Abroad,Russia—Yaroslavl,"Unlike many American programs in Russia, in which study abroad students are segregated from regular university and community life, our programs in Irkutsk, Moscow, and Yaroslavl have been carefully designed to encourage linguistic and cultural integration.",5,36,no,yes,1970,http://www.middlebury.edu/study-abroad/russia,Russia,57.6301004,39.8656311,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Russia.png,
SA32,C.V. Starr Schools Abroad,Spain—Córdoba,"With program options in Madrid, Getafe, Logroño, and Córdoba – four very different and distinct study abroad sites – the School in Spain offers a wide range of options for true immersion in Spanish language and culture.",12,36,no,yes,1970,http://www.middlebury.edu/study-abroad/spain,Spain,37.8847267,-4.7791517,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Spain.png,
SA33,C.V. Starr Schools Abroad,Spain—Getafe,"With program options in Madrid, Getafe, Logroño, and Córdoba – four very different and distinct study abroad sites – the School in Spain offers a wide range of options for true immersion in Spanish language and culture.",12,36,no,yes,1970,http://www.middlebury.edu/study-abroad/spain,Spain,40.3049763,-3.7326773,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Spain.png,
SA34,C.V. Starr Schools Abroad,Spain—Logroño,"With program options in Madrid, Getafe, Logroño, and Córdoba – four very different and distinct study abroad sites – the School in Spain offers a wide range of options for true immersion in Spanish language and culture.",12,36,no,yes,1970,http://www.middlebury.edu/study-abroad/spain,Spain,42.4657764,-2.4499946,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Spain.png,
SA35,C.V. Starr Schools Abroad,Spain—Madrid,"With program options in Madrid, Getafe, Logroño, and Córdoba – four very different and distinct study abroad sites – the School in Spain offers a wide range of options for true immersion in Spanish language and culture.",12,36,no,yes,1970,http://www.middlebury.edu/study-abroad/spain,Spain,40.4166909,-3.7003454,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Spain.png,
SA36,C.V. Starr Schools Abroad,United Kingdom—Oxford,"The Middlebury College-CMRS Oxford Humanities Program (Middlebury-CMRS) is a semester or yearlong opportunity to study abroad in the vibrant and historical city of Oxford, England.",15,36,no,yes,1970,http://www.middlebury.edu/study-abroad/medieval-renaissance-studies,United Kingdom,51.7522764,-1.2558243,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Oxford.jpg,
SA37,C.V. Starr Schools Abroad,Uruguay—Montevideo,"While in Montevideo, students live in homestays and study with local students. They enroll directly alongside their Uruguayan peers at one of Middlebury's three host institutions: the Universidad Católica del Uruguay, the Universidad de la República, or the Universidad ORT.",5,36,no,yes,1970,http://www.middlebury.edu/study-abroad/uruguay,Uruguay,-34.901112,-56.164532,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/Montevideo.jpg,
MC0,Middlebury College,Undergraduate and graduate studies,Middlebury College has emerged as one of a handful of the most highly regarded liberal arts colleges. Middlebury is unique among these schools in being a classic liberal arts college that also offers graduate and specialized programs operating around the world.,,,yes,yes,1800,,,,,1A;3A,MC faculty have taught in Language Schools,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/mdl_college_left_blue.jpg,
MC1,Middlebury College,Franklin Environmental Center & Office of Sustainability Integration,"The mission of the Franklin Environmental Center is to shape a world in which humans, ecological communities, and economic systems can sustainably coexist.",50,52,no,no,1965,http://www.middlebury.edu/sustainability/fech,"Middlebury, Vermont",44.0019,-73.1456,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/mdl_college_left_blue.jpg,
MC2,Middlebury College,Bachelor of Arts,"Founded in 1800 and set in the beautiful Champlain Valley of Vermont, Middlebury College has long been one of the finest liberal arts colleges in the country. Our 2,450 students, from all 50 states and more than 70 countries, are part of a community devoted to teaching, learning, and collaborating.",2450,52,yes,yes,1800,http://www.middlebury.edu/#story495766,"Middlebury, Vermont",44.0019,-73.1456,2A;4A;5A;15A;18A,"Scholarships for College students to attend BLWC, Orion EWC, or Translators' Conference;MC international undergraduates have attended MIIS to strengthen language skills",http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/mdl_college_left_blue.jpg,
MC3,Middlebury College,Combined Degree Programs,Middlebury College has emerged as one of a handful of the most highly regarded liberal arts colleges. Middlebury is unique among these schools in being a classic liberal arts college that also offers graduate and specialized programs operating around the world.,1000,52,yes,yes,1800,http://www.middlebury.edu/#story495766,"Middlebury, Vermont",44.0019,-73.1456,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/mdl_college_left_blue.jpg,
MC4,Middlebury College,"Innovation & Engagement Programs on Creativity & Innovation
","Current PCI programming includes MiddEntrepreneurs, TEDxMiddlebury, MiddChallenge, the Hunt, MiddVentures, MIDDSTART, Davis Projects for Peach, Tree House Fund, and New Millennium Fund. Spaces around campus include Old Stone Mill, Annex, M Gallery, and Center Gallery.",300,52,no,yes,2007,http://www.middlebury.edu/studentlife/innovation,"Middlebury, Vermont",44.0019,-73.1456,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/mdl_college_left_blue.jpg,
MC5,Middlebury College,Innovation & Engagement MiddCORE,"MiddCORE is a mentor-driven, experiential-learning program that builds skills, creates opportunities, and expands networks for tomorrow’s leaders and innovators. ",400,52,no,yes,2008,http://middcore.middlebury.edu/about/,"Middlebury, Vermont",44.0019,-73.1456,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/mdl_college_left_blue.jpg,
MC6,Middlebury College,Innovation & Engagement Center for Careers & Internships,"Whether it's finding that perfect internship, getting practical 
information for landing the job, or just looking to explore your 
options, the Center for Careers & Internships is the place to start.",200,40,no,yes,2008,http://www.middlebury.edu/studentlife/cci,"Middlebury, Vermont",44.0019,-73.1456,19A,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/mdl_college_left_blue.jpg,
MC7,Middlebury College,Innovation & Engagement Community Engagement,"Locally and around the world, our office helps Middlebury College students explore civic identity, develop essential life-long skills, and pursue projects in collaboration with communities, all while striving to contribute to the public good.",150,52,no,no,1985,http://www.middlebury.edu/studentlife/communityengagement,"Middlebury, Vermont",44.0019,-73.1456,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/mdl_college_left_blue.jpg,
MC8,Middlebury College,Charles P. Scott Center for Spiritual and Religious Life,"The Chaplain's Office exists as an expression of the College's longstanding commitment to the education of the whole person. For over two centuries, Middlebury College has strived to be a place where a student's intellectual, spiritual, and moral character can grow and flourish.",200,52,no,"no
",1900,http://www.middlebury.edu/taxonomy/term/7441,"Middlebury, Vermont",44.0019,-73.1456,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/mdl_college_left_blue.jpg,
MC9,Middlebury College,Museum of Art,The Middlebury College Museum of Art is an integral educational and cultural component of Middlebury College whose mission is to enable visitors to understand more fully the artistic achievements represented by a diversity of cultures. Its collection includes several thousand objects.,40,44,no,no,1990,http://museum.middlebury.edu/,"Middlebury, Vermont",44.0019,-73.1456,12A,Museum field trips and LS course content support,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/mdl_college_left_blue.jpg,
MC10,Middlebury College,Student Activities,"Student Activities helps students connect with one another and facilitates involvement in a wide variety of activities and programs, designed to enhance students’ college experience.",900,38,no,no,1991,http://www.middlebury.edu/studentlife/activities,"Middlebury, Vermont",44.0019,-73.1456,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/mdl_college_left_blue.jpg,
MC11,Middlebury College,International Programs and Off-Campus Study (IPOCS),"Many students major in disciplines other than foreign languages, yet all bring a level of proficiency that supports their commitment to language and cultural immersion. They sign and honor the Middlebury Language Pledge.",500,52,no,yes,1960,http://www.middlebury.edu/study-abroad,"Middlebury, Vermont",44.0019,-73.1456,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/mdl_college_left_blue.jpg,
MC12,Middlebury College,"Davis United World College Scholars Program
","We currently have 80 Davis UWC Scholars from 65 different countries here at Middlebury. They are part of a student body that is over 10 percent international, and they help create a global campus climate. We are also proud to host the scholarship program's national headquarters in Adirondack House.",80,38,no,no,2000,http://www.middlebury.edu/international/davis_midd,"Middlebury, Vermont",44.0019,-73.1456,,,http://sandcat.middlebury.edu/palladio/newpalladio/thumbnails/Study%20Abroad/mdl_college_left_blue.jpg,
